# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
2.143379005268239013e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.778995493064473311e-06 3.392025537066251095e-02 4.906041473011672482e-01 2.819536407727951666e+00 8.783187669586077106e+00 1.041396851109699817e+01
2.375157284886238784e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.402621935439741455e-08 1.952079256106202879e-02 4.133452372606437053e-01 2.555029653949571600e+00 1.058952721952053366e+01 1.330371582739865666e+01
2.631999340332326653e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.069083140418757710e-02 3.514944239215689881e-01 2.228114587655081191e+00 1.251829443753448423e+01 1.690615087139613948e+01
2.916615489673395345e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.599890005064580428e-03 2.974850060378097516e-01 1.884125560047146930e+00 1.441299800347964322e+01 2.129650168179436776e+01
3.232009136266993465e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.894263718337229327e-03 2.466555861365708480e-01 1.558799464017463166e+00 1.604896593544555827e+01 2.650345175883229842e+01
3.581508462084953948e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.542193828312578762e-03 1.981134876035336445e-01 1.270069121335589024e+00 1.717906748451944665e+01 3.250718344094540413e+01
3.968801548253567546e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.497387581926653909e-04 1.530192684248005697e-01 1.024526717487550531e+00 1.756378464144999896e+01 3.920759096803730870e+01
4.397975293418783593e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.503406355133980654e-04 1.128613173648684576e-01 8.210089611974602519e-01 1.704423649558779275e+01 4.642130577126463464e+01
4.873558540621255020e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.127223680196260725e-04 7.890740025422127157e-02 6.536502605081150330e-01 1.560986435821794238e+01 5.386921296438725903e+01
5.400569867776354016e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.409383629561479972e-05 5.232396629297583063e-02 5.135452239035207533e-01 1.341234592861125208e+01 6.116518247065907588e+01
5.984570546066733954e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.570574278017505966e-05 3.302002547328984627e-02 3.964168361439263100e-01 1.077977386132415027e+01 6.787338639480026359e+01
6.631723225089223206e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.623995422286409603e-06 1.982042447135785174e-02 3.056187705134439936e-01 8.096626939528190903e+00 7.349225255557603020e+01
7.348856964029403116e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.615094701000534688e-07 1.128221719457466257e-02 2.408183974491091561e-01 5.704467596781981342e+00 7.749400945860287493e+01
8.143539295103335007e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.110999042970183606e-03 1.956534373650689329e-01 3.820894568763245847e+00 7.940549692900097511e+01
9.024156079713677059e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.155685395680673643e-03 1.622744546114951170e-01 2.495119471750336437e+00 7.891164663675830582e+01
1.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.588891343113343988e-03 1.335562084943801853e-01 1.645440624859847434e+00 7.572214717676430951e+01
