# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
8.885942843051027884e-01 3.152339555727773000e+15 2.299992330337426172e+13 1.449118654062739258e+11 6.288189228680828810e+08 1.295890435849216260e+00 6.474419315445993917e-01 6.433834188708653645e-01 6.433433829605450516e-01 6.433429790517487534e-01 6.433429749099828232e-01 6.433429749095709305e-01
9.846840817643484067e-01 3.964321332048543000e+15 2.917653948670351172e+13 1.872305096587330933e+11 8.575345658137408495e+08 2.300344229901401416e+00 7.055776538654464636e-01 6.993516170005130705e-01 6.992895665054783549e-01 6.992889459090569915e-01 6.992889396709399685e-01 6.992889396703131366e-01
1.091164728387089111e+00 4.982689511314099000e+15 3.697405055319078125e+13 2.413295330941189880e+11 1.159175351386064291e+09 4.924635184208505962e+04 7.624852463518195789e-01 7.530081359482546643e-01 7.529103348624419656e-01 7.529093943903529818e-01 7.529093849152180828e-01 7.529093849142788342e-01
1.209159857994953624e+00 6.259344996511025000e+15 4.681047951949606250e+13 3.103793533546169434e+11 1.555478477828689814e+09 8.488111288692634553e+05 8.178696304962430608e-01 8.035433502990351196e-01 8.034046296235912710e-01 8.034032182938981581e-01 8.034032041669666446e-01 8.034032041655654321e-01
1.339914610645029036e+00 7.859126070835806000e+15 5.921020500468346875e+13 3.983836964623885498e+11 2.074201391760065794e+09 2.598294264607358258e+06 8.718666955226299642e-01 8.503745161170627176e-01 8.501668445350281100e-01 8.501647322143620622e-01 8.501647107427758865e-01 8.501647107407178661e-01
1.484808771932877747e+00 9.863010293170114000e+15 7.483072721122823438e+13 5.103947921667905884e+11 2.750744498461143970e+09 5.305654031808623113e+06 9.254717704987150961e-01 8.931029291651489954e-01 8.927885162352647841e-01 8.927853617703620515e-01 8.927853300563159955e-01 8.927853300425543370e-01
1.645371333138542003e+00 1.237210313124090400e+16 9.449611258994848438e+13 6.527833756382380371e+11 3.630205210412624359e+09 9.100294397646710277e+06 9.811066187428377772e-01 9.319688428773844624e-01 9.314858676554803596e-01 9.314811694593840841e-01 9.314811275077110597e-01 9.314811275021488424e-01
1.823296625861047238e+00 1.551260658993853000e+16 1.192387658346983281e+14 8.335772882257133789e+11 4.769972897503218651e+09 1.424081730602667481e+07 1.044024019203313003e+00 9.677131795330821129e-01 9.670057700646698118e-01 9.669986613008146881e-01 9.669985892856807208e-01 9.669985892822303697e-01
2.020462201401659108e+00 1.944200755281468400e+16 1.503515948803898438e+14 1.062885924143582764e+12 6.243002970257799149e+09 2.112763152183103561e+07 1.124746694990506723e+00 1.001672217275989096e+00 1.000572507312762482e+00 1.000561451883572150e+00 1.000561341713474661e+00 1.000561341701845741e+00
2.238948643567525210e+00 2.435678235079288000e+16 1.894531265853557812e+14 1.353432128310602783e+12 8.141943929150224686e+09 3.032044229877596721e+07 1.245380281366461839e+00 1.035559466320940425e+00 1.033850851490538236e+00 1.033833201338954177e+00 1.033833038249723391e+00 1.033833038227202961e+00
2.481061523969742222e+00 3.050198958870340800e+16 2.385687777228871875e+14 1.721218313662292480e+12 1.058433570105695534e+10 4.256582337150005251e+07 1.459499288882789791e+00 1.071512857857501722e+00 1.068727514073354534e+00 1.068701308678701611e+00 1.068701029500033428e+00 1.068701029460663365e+00
2.749355731498453359e+00 3.818321056343837600e+16 3.002322606627785000e+14 2.186360608180281982e+12 1.371915302724554634e+10 5.883758788153761625e+07 1.921369758182835286e+00 1.110936963244484321e+00 1.106573812946345603e+00 1.106531080936829836e+00 1.106530644358858284e+00 1.106530644324129842e+00
3.046662432711031876e+00 4.778140611946022400e+16 3.776120673253926250e+14 2.774132770382028809e+12 1.773503704929465103e+10 8.039223386774216592e+07 3.665089618775780433e+00 1.156535114035741829e+00 1.149461665898532159e+00 1.149391045931991817e+00 1.149390350890264090e+00 1.149390350786557935e+00
3.376118947632046119e+00 5.977140411457440000e+16 4.746692190050682500e+14 3.516272242568956055e+12 2.287064477901441574e+10 1.088422487834920585e+08 2.145374872408525334e+03 1.209929017320185318e+00 1.198355085132966735e+00 1.198240443978318526e+00 1.198239286474415355e+00 1.198239286375503143e+00
3.741201856228492773e+00 7.474490824966313600e+16 5.963539392632231250e+14 4.452613844528291992e+12 2.942765458392852402e+10 1.462509888133053780e+08 6.676497654469100235e+04 1.272566983443002675e+00 1.253628294268635868e+00 1.253443170421552288e+00 1.253441299948546472e+00 1.253441299750921223e+00
4.145763684915336533e+00 9.343910462600660800e+16 7.488508088103953750e+14 5.633132265377235352e+12 3.778710072348491669e+10 1.952540598798440993e+08 2.252102607663382369e+05 1.346341680079694791e+00 1.315460321076916683e+00 1.315158168238963254e+00 1.315155144019203970e+00 1.315155143597556586e+00
4.594073560224669173e+00 1.167721688273638880e+17 9.398843198905013750e+14 7.120494746815460938e+12 4.842987938488037872e+10 2.592136080884585679e+08 4.767323241527306382e+05 1.434826711926511900e+00 1.384015632401883744e+00 1.383527400577123201e+00 1.383522530391348759e+00 1.383522529960786951e+00
5.090862258635080906e+00 1.458877394045977280e+17 1.179099529219196000e+15 8.993251344845759766e+12 6.196247916463662720e+10 3.424137305605382323e+08 8.323784068824346177e+05 1.545371236059275732e+00 1.460475461206608871e+00 1.459689472216568751e+00 1.459681315003649393e+00 1.459681314146068276e+00
5.641372127948172555e+00 1.822096022289460480e+17 1.478536305901116750e+15 1.134981915979878320e+13 7.914925270324728394e+10 4.503074301013410687e+08 1.315532824527700664e+06 1.692472717103410629e+00 1.546937361916576270e+00 1.545626667026590351e+00 1.545613329307971906e+00 1.545613327953315075e+00
6.251412407006109895e+00 2.275102774796059520e+17 1.853219926550951250e+15 1.431345889780013086e+13 1.009528745661066437e+11 5.898282746676981449e+08 1.963293194991549011e+06 1.906004413932625541e+00 1.646554425160309476e+00 1.644334101760276612e+00 1.644326593939680281e+00 1.644326591860257203e+00
6.927420527509812409e+00 2.839961472156730560e+17 2.321896616321183500e+15 1.803848652388730078e+13 1.285850397661233673e+11 7.697833245205868483e+08 2.828144338637633249e+06 2.258100536881261888e+00 1.763624242062720615e+00 1.759896779682281087e+00 1.759858834238278602e+00 1.759858830636092941e+00
7.676530044823433485e+00 3.544115357714178560e+17 2.907949176510850500e+15 2.271802733124859375e+13 1.635699740369801331e+11 1.001348122657902360e+09 3.980526090166319162e+06 2.978185059642479260e+00 1.904692083083397991e+00 1.898192891844549868e+00 1.898127573763850329e+00 1.898127567070422295e+00
8.506645914602792402e+00 4.421753568414121600e+17 3.640536344428744500e+15 2.859369022931134375e+13 2.078239544223365784e+11 1.298689854623786926e+09 5.512605778896465898e+06 5.208327329781902826e+00 2.079563754579353052e+00 2.067993084406792192e+00 2.067870895949287746e+00 2.067870884689626987e+00
9.426527909602249622e+00 5.515346432679855360e+17 4.556012162559919000e+15 3.596763702736893750e+13 2.637548451322442017e+11 1.679751366689310789e+09 7.543495143798658624e+06 1.979484874845672948e+01 2.303676592036409509e+00 2.282432023948432587e+00 2.282235820586465458e+00 2.282235819489603301e+00
