# E_gamma_TeV tau_xi_-1e+06 tau_xi_-1e+05 tau_xi_-1e+04 tau_xi_-1e+03 tau_xi_-1e+02 tau_xi_-1e+01 tau_xi_0e+00 tau_xi_1e+01 tau_xi_1e+02 tau_xi_1e+03 tau_xi_1e+04 tau_xi_1e+05 tau_xi_1e+06
7.742636826811265527e-01 0.000000000000000000e+00 3.227089188091123578e-02 3.787325796292391744e-01 5.237849185138763186e-01 5.415605466732340556e-01 5.433696595466472878e-01 5.435725273480510600e-01 5.437766856784703728e-01 5.455960445293102090e-01 5.641966283341348642e-01 7.952385872253832089e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.458098281751332825e-01 0.000000000000000000e+00 2.258251443030948047e-02 3.809561393054236578e-01 5.629056439911820364e-01 5.861150724989531158e-01 5.884745499416335068e-01 5.887427288571173145e-01 5.890099265712709364e-01 5.914031865113874575e-01 6.158876303437460509e-01 9.379824158613979668e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.239672238795645365e-01 0.000000000000000000e+00 1.507137812678134049e-02 3.752152976491582304e-01 5.997767415948712655e-01 6.296862885131500054e-01 6.327633224585892391e-01 6.331036894844910279e-01 6.334469688348156602e-01 6.365462808348493207e-01 6.684740736343485201e-01 1.157284500854222520e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.009346785016240089e+00 0.000000000000000000e+00 9.695484961378791552e-03 3.610810811918545582e-01 6.334741720520548069e-01 6.716823370118532033e-01 6.756322211586471838e-01 6.760787203646142496e-01 6.765321295457296102e-01 6.805115583010092895e-01 7.218502019361340283e-01 3.070243011633710051e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.102615878672568606e+00 0.000000000000000000e+00 6.043854680880693386e-03 3.387818780674237140e-01 6.631861619806455055e-01 7.115977040696601641e-01 7.166374892412219477e-01 7.172018648365171556e-01 7.177609727463548639e-01 7.228668513844606069e-01 7.762754480262097356e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.204503540258781813e+00 0.000000000000000000e+00 3.567973537168123242e-03 3.089810955715959206e-01 6.881931071789347820e-01 7.490370828252372881e-01 7.554647644966746567e-01 7.561841392357107061e-01 7.569019021123479796e-01 7.633950908776711008e-01 8.323684303407975493e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.315806171993986640e+00 0.000000000000000000e+00 1.895664879058882139e-03 2.730926853659682019e-01 7.076261414964899465e-01 7.836957997754048222e-01 7.918306329227491336e-01 7.927360868925452664e-01 7.936518600477276975e-01 8.019164663099608292e-01 8.915248381917977305e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.437393767963104363e+00 0.000000000000000000e+00 8.174612513644421855e-04 2.330932536555187506e-01 7.209399835885582641e-01 8.153470880826013678e-01 8.256316175834662596e-01 8.267812716834710418e-01 8.279511610869216831e-01 8.384777825352597302e-01 9.563319245703942872e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.570216714402683733e+00 0.000000000000000000e+00 2.037959238650836880e-04 1.914533268628594298e-01 7.273626888089630427e-01 8.438422582673195116e-01 8.568717238466848629e-01 8.583494797814135158e-01 8.598225398659049556e-01 8.732117538581118943e-01 1.033834550229913773e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.715313218369851178e+00 0.000000000000000000e+00 1.462550920820344157e-05 1.509815074488612130e-01 7.262898144126811451e-01 8.690326431085260150e-01 8.855330878007466877e-01 8.873921413781511447e-01 8.892692776478544614e-01 9.064301018617261230e-01 1.145330179597052078e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.873817422860383886e+00 0.000000000000000000e+00 1.518183920702271493e-09 1.140655538258388002e-01 7.172465701014502093e-01 8.907988751585315113e-01 9.117493371940756930e-01 9.141444179815186866e-01 9.165513090544037400e-01 9.388058663810563420e-01 1.359949137437277189e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.046968271807521056e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.238747653518858904e-02 6.998745291300075833e-01 9.090868569479175765e-01 9.359232521210424371e-01 9.390222918694716148e-01 9.421529087824949134e-01 9.716747136267340768e-01 1.993711679119840818e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.236119194254531539e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.686273675130924798e-02 6.740335177584978466e-01 9.238628787318917679e-01 9.586366463850379827e-01 9.627640935668354549e-01 9.669563913102344754e-01 1.007351911865423055e+00 3.313184283685660603e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.442748683397140130e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.766296629143131569e-02 6.398315369294456101e-01 9.350178058698422889e-01 9.807512783812646351e-01 9.863092071140572292e-01 9.919960994949643673e-01 1.049576267235090343e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.668471853186575427e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.396751038779673659e-02 5.976478237736964072e-01 9.423714592631308173e-01 1.003119431364906777e+00 1.010840766796377244e+00 1.018801779245086525e+00 1.103975440111454986e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.915053062825174290e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.461155497472086187e-02 5.481895908266960493e-01 9.453384317521082991e-01 1.026609614033223483e+00 1.037509734983460552e+00 1.048863765458932118e+00 1.180107243394382888e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.184419707833543889e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.565756476894746674e-03 4.924616640312880489e-01 9.432993346350855290e-01 1.052048371811743044e+00 1.067538931015650450e+00 1.083996033575657547e+00 1.295956587427181006e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.478677285486804660e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.942957484195754231e-03 4.321095656880941105e-01 9.352595957069472776e-01 1.079874714602784502e+00 1.102209885851791915e+00 1.126345181667381734e+00 1.484824003020878580e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.800125852378501090e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.795899152571989892e-03 3.693264953415386076e-01 9.202630985857414014e-01 1.110598198506812073e+00 1.142915073623274269e+00 1.178906727850066005e+00 1.818879585388564868e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.151278002752293084e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.470782506909736314e-03 3.067037597039207197e-01 8.976090723017173811e-01 1.144267140239511260e+00 1.191135549665433446e+00 1.245171003471424509e+00 2.609793745253686126e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.534878508128580066e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.580707234596124954e-04 2.468273675480869567e-01 8.670373619501390294e-01 1.180391249138575072e+00 1.248370058770303270e+00 1.329413419208128611e+00 8.104359348821903453e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.953925771738688866e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.920558690808668188e-04 1.915467067163618420e-01 8.289259769018617607e-01 1.218166351894306665e+00 1.315356985328874684e+00 1.436233521742236841e+00 8.099497980557150356e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.411695265464635085e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.539829472229611567e-05 1.425272142796786545e-01 7.843818009809435665e-01 1.255394718264892351e+00 1.392482401635341427e+00 1.573177850073156137e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.911765132478685736e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.255758034026141104e-08 1.015477019721980623e-01 7.348573750074119948e-01 1.289536347049695886e+00 1.480290949217851759e+00 1.753957895014867097e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.458044155705079170e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.928112045111438355e-02 6.818527695165084168e-01 1.316767990466247706e+00 1.579566648964188191e+00 2.008044282140198256e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.054802310718641500e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.519528191266463518e-02 6.263802610028480489e-01 1.333912873458698689e+00 1.691967698658242591e+00 2.405525318692463443e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.706704141896231874e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.826653874818704434e-02 5.690001472873247312e-01 1.337020046650925664e+00 1.819926242459352306e+00 3.151374947685263717e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.418845222704815612e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.708335135698214186e-02 5.104559723354504808e-01 1.322668918001020044e+00 1.967170674519003404e+00 4.961312267787757690e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.196791985117059198e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.945065393670829770e-03 4.515319013302444562e-01 1.288239226615524036e+00 2.138972239512078932e+00 1.157729546107544039e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.004662522947998937e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.560429938300474190e-03 3.925716933499850958e-01 1.232880012633771116e+00 2.343199241253234089e+00 1.347428127708274701e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.097498765493055117e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.060381671470744063e-03 3.339964598839077481e-01 1.157447588354582946e+00 2.590487563320515552e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.198913578187811702e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.680649703718856396e-03 2.767405883440561820e-01 1.065049246458981136e+00 2.894337853947314798e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.309699667240489340e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.763570892146544614e-04 2.226222231999924750e-01 9.609567344317023752e-01 3.271599116769595472e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.430722989193756511e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.982497160563521128e-04 1.736566157969207658e-01 8.522421898663797846e-01 3.741212449182745203e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.562929519651202703e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.254252022909087684e-04 1.310225057539693705e-01 7.461489423198218729e-01 4.324349049362482766e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
