# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
3.581508462084953948e+01 1.899471600141814844e+13 1.671576239349657715e+12 1.443683278305470276e+11 1.215807669635476875e+10 9.880495072834445238e+08 7.610127503772072494e+07 5.377289542464418337e+06 3.282516484254273819e+05 1.368481699801339346e+04 1.095130760676838264e+02 3.893002815763462365e+01
3.968801548253567546e+01 2.138659283906635156e+13 1.886119940556033936e+12 1.633582645137764893e+11 1.381060264248200989e+10 1.128640022078757048e+09 8.768586529709117115e+07 6.285114798934719525e+06 3.937943314549341449e+05 1.826870958158615394e+04 1.922349680357798434e+02 4.945193125428945535e+01
4.397975293418783593e+01 2.407365393192317188e+13 2.127517118857288574e+12 1.847670643691109619e+11 1.567836962300556755e+10 1.288092001646465540e+09 1.008911493391293287e+08 7.328571489622964524e+06 4.700521248460489442e+05 2.357119277255678026e+04 3.612751968101458715e+02 6.244475946386759801e+01
4.873558540621255020e+01 2.709176987557939844e+13 2.399066718144178223e+12 2.088957986191583557e+11 1.778860260944990540e+10 1.468839511488009214e+09 1.159316419097289145e+08 8.526261311437839642e+06 5.586513471330247121e+05 2.970740120989490242e+04 6.804832427259317456e+02 7.850020086530831520e+01
5.400569867776354016e+01 3.048111734397614844e+13 2.704467057938663086e+12 2.360823707848106079e+11 2.017189809777151489e+10 1.673622621607747316e+09 1.330493389557915777e+08 9.899208797831181437e+06 6.614214212638509925e+05 3.682478269767146412e+04 1.138342984916170735e+03 9.841457347698528224e+01
5.984570546066733954e+01 3.428669252752264844e+13 3.047863827332075195e+12 2.667059580139226990e+11 2.286263446724015808e+10 1.905525102645435333e+09 1.525171534604994059e+08 1.147117423671377078e+07 7.804229350425412413e+05 4.510012477277803555e+04 1.715504285613761340e+03 1.233031460284126410e+02
6.631723225089223206e+01 3.855888079707739062e+13 3.433903394833027344e+12 3.011919854075669556e+11 2.589943278476104736e+10 2.168016710203098774e+09 1.746427720838772953e+08 1.326900449513702653e+07 9.179792967086860444e+05 5.473810394377054035e+04 2.403945361107721055e+03 1.548908554807348139e+02
7.348856964029403116e+01 4.335409729061082031e+13 3.867792744763991699e+12 3.400176960749035034e+11 2.932567140869192886e+10 2.465000591653230190e+09 1.997729836184344888e+08 1.532302656977450661e+07 1.076712777261301177e+06 6.597166658419562737e+04 3.204413296083222576e+03 1.957530582411611988e+02
8.143539295103335007e+01 4.873550038131932812e+13 4.355366362842486328e+12 3.837183846970767212e+11 3.319006431875810623e+10 2.800866434669742107e+09 2.282985356384439468e+08 1.766748914700221643e+07 1.259584903407102451e+06 7.906366750192042673e+04 4.126113170673038439e+03 2.496967888588321216e+02
9.024156079713677059e+01 5.477379654256680469e+13 4.903161021473890625e+12 4.328943646702996216e+11 3.754730676861179352e+10 3.180550041309989452e+09 2.606595847459967732e+08 2.034105821614952385e+07 1.469941824949358590e+06 9.430947643443258130e+04 5.185969920401448690e+03 3.222182907354046506e+02
1.000000000000000000e+02 6.154812590627447656e+13 5.518499465544713867e+12 4.882187752247778931e+11 4.245879965497924805e+10 3.609600101160997391e+09 2.973518103764765263e+08 2.338737319313422590e+07 1.711565230163727421e+06 1.120411152367227769e+05 6.407864685440955327e+03 4.141333498900664267e+02
